Distance,PDR,
10,1.000,"1,407"
20,1.000,"1,407"
30,1.000,"1,407"
40,1.000,"1,407"
50,1.000,"1,407"
60,1.000,"1,407"
70,1.000,"1,407"
80,1.000,"1,407"
90,1.000,"1,407"
100,1.000,"1,407"
110,1.000,"1,407"
120,1.000,"1,407"
130,1.000,"1,407"
140,1.000,"1,407"
150,1.000,"1,407"
160,1.000,"1,407"
170,1.000,"1,407"
180,1.000,"1,407"
190,1.000,"1,407"
200,1.000,"1,407"
210,1.000,"1,407"
220,1.000,"1,407"
230,1.000,"1,407"
240,1.000,"1,407"
250,0.999,"1,405"
260,0.999,"1,405"
270,0.997,"1,403"
280,0.995,1400
285,0.993,1397
290,0.986,1387
295,0.982,1381
300,0.972,1367
305,0.948,1334
310,0.925,1302
315,0.888,1249
320,0.833,1172
325,0.761,1071
330,0.670,942
335,0.539,758
340,0.394,555
345,0.240,338
350,0.143,201
355,0.052,73
360,0.010,14
365,0.000,0
370,0.000,0